id	sentence	raw	ipa	gloss_en	features	notes
ar-SA-x-qassim-001	وِش لَونَك الْيَوم؟ عَسَاك بِخَير يَا بُو خَالِد.	وش لونك اليوم؟ عساك بخير يا بو خالد.	ˈwiʃ ˈloːnak alˈjoːm ʕaˈsaːk biˈxeːr jaː ˈbuː ˈxaːlid	How are you today? Hope you're well, Abu Khalid.	kaf;sun_assim;pharyngeal;long_vowel;diphthong;question	wiʃ lōnak Qassimi/Najdi greeting (ingham1994); لَون→[loːn], الْيَوم→[joːm] monophthongs (alhoody2019 p.42)
ar-SA-x-qassim-002	الْقَهْوَة حَقّ الضُّيُوف جَاهْزَة فِي الْمَجْلِس.	القهوة حق الضيوف جاهزة في المجلس.	alˈɡahawa ˈħaɡɡ ɑðˤðˤuˈjuːf ˈdʒaːhza fiː lˈmadʒlis	The coffee for the guests is ready in the sitting room.	qaf;jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	gahawa epenthesis الْقَهْوَة→[alɡahawa] (ingham1994); ق=/ɡ/, ض/ظ merger in الضيوف (alhoody2019 p.41); hagg possessive
ar-SA-x-qassim-003	مَا أَبْغَى شَي، بَس أَبْغَى كِيلُو تَمْر وَاحِد.	ما أبغى شي، بس أبغى كيلو تمر واحد.	maː ˈʔabɣaː ˈʃeː ˈbas ˈʔabɣaː ˈtsiːluː ˈtamr ˈwaːħid	I don't want anything, I just want one kilo of dates.	kaf;hamza;pharyngeal;long_vowel;diphthong;negation	abɣā Najdi (ingham1994); كِيلُو→[tsiːluː] velar affrication /k/→[ts] before front vowel (alhoody2019 p.42; alrojaie2013)
ar-SA-x-qassim-004	اِشْتَرَيت ثَلَاث كُتُب مِن السُّوق بِعِشْرِين رِيَال.	اشتريت ثلاث كتب من السوق بعشرين ريال.	ʔiʃtaˈreːt θaˈlaːθ ˈkutub min asˈsuːɡ biʕiʃˈriːn riˈjaːl	I bought three books from the market for twenty riyals.	qaf;interdental;kaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;number	ث retained /θ/ (ingham1994); اِشْتَرَيت→[ʔiʃtareːt] monophthong (alhoody2019 p.42); ق=/ɡ/ sūg; sun assim as-suːɡ
ar-SA-x-qassim-005	يَا وَلَد، رُوح جِيب لِي غَرْشَة مَوْيَة بَارْدَة.	يا ولد، روح جيب لي غرشة موية باردة.	jaː ˈwalad ˈruːħ ˈdʒiːb liː ˈɣarʃa ˈmoːja ˈbaːrda	Boy, go bring me a cold bottle of water.	jim;ta_marbuta;pharyngeal;long_vowel;diphthong;imperative	imperatives ruh/jib; مَوْيَة→[moːja] monophthong; ج=/dʒ/ (ingham1994 sedentary Najdi)
ar-SA-x-qassim-006	هَذَا الرِّجَّال يِعْرِف الطَّرِيق لِبُرَيْدَة زَين.	هذا الرجال يعرف الطريق لبريدة زين.	ˈhaðaː rridʒˈdʒaːl ˈjiʕrif ɑtˤtˤɑˈriːdz libuˈreːda ˈzeːn	This man knows the road to Buraydah well.	qaf;jim;interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	geminate رِّجَّال; الطَّرِيق→[ɑtˤtˤɑriːdz] qaf-reflex /ɡ/→[dz] before front vowel (alhoody2019 p.42); زَين→[zeːn], بُرَيْدَة→[bureːda] monophthongs
ar-SA-x-qassim-007	الدِّنْيَا بَارْدَة الْيَوْم ومَا فِيهَا مَطَر.	الدنيا باردة اليوم وما فيها مطر.	adˈdinjaː ˈbaːrda lˈjoːm ˈwmaː ˈfiːhaː ˈmɑtˤɑr	The weather is cold today and there's no rain.	ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement;negation	الْيَوْم→[joːm] /aw/→[oː] monophthong (alhoody2019 p.42); ومَا negation, Najdi register (ingham1994); الدِّنْيَا 'the weather' with sun-assim [addinjaː]
ar-SA-x-qassim-008	كَم سِعْر الْكِيلُو؟ أَبْغَى ثَلَاثَة كِيلُو تَمْر.	كم سعر الكيلو؟ أبغى ثلاثة كيلو تمر.	ˈkam ˈsiʕr alˈtsiːluː ˈʔabɣaː θaˈlaːθa ˈtsiːluː ˈtamr	How much is a kilo? I want three kilos of dates.	interdental;kaf;hamza;ta_marbuta;pharyngeal;long_vowel;question;number	كِيلُو→[tsiːluː] velar affrication /k/→[ts] before front vowel (alhoody2019 p.42; alrojaie2013); أَبْغَى Najdi 'want' (ingham1994); كَم before non-front /a/ stays [kam]
ar-SA-x-qassim-009	مَوْعِدْنَا السَّاعَة خَمْس العَصْر.	موعدنا الساعة خمس العصر.	moːˈʕidnaː sˈsaːʕa ˈxams alˈʕɑsˤr	Our appointment is at five in the afternoon.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	مَوْعِد→[moːʕid] /aw/→[oː] monophthong (alhoody2019 p.42); خَمْس number; العَصْر sun-assim seat
ar-SA-x-qassim-010	أَهْلِي سَاكْنِين فِي بُرَيْدَة مِن زَمَان.	أهلي ساكنين في بريدة من زمان.	ˈʔahaliː saːkˈniːn fiː buˈreːda min zaˈmaːn	My family have lived in Buraydah for a long time.	kaf;hamza;ta_marbuta;long_vowel;diphthong;statement	بُرَيْدَة→[bureːda] /aj/→[eː] monophthong, the Qaṣīm capital (alhoody2019 p.42); أَهْلِي [ʔahaliː] Najdi
