id	sentence	raw	ipa	gloss_en	features	notes
ar-QA-001	شْحَالَك؟ عَسَاك بِخَير يَا وَلَد عَمِّي.	شحالك؟ عساك بخير يا ولد عمي.	ˈʃħaːlak ʕaˈsaːk biˈxeːr jaː ˈwalad ˈʕammiː	How are you? I hope you are well, my cousin.	kaf;pharyngeal;geminate;long_vowel;diphthong;question	šḥālak greeting; ʕasāk optative (Gulf); monophthong ē in بِخَير (Gulf ay→ē, alshammari2026); geminate مّ
ar-QA-002	اَلْحَرّ فِي الدَّوحَة شَدِيد وَالرُّطُوبَة عَالْيَة.	الحر في الدوحة شديد والرطوبة عالية.	alˈħarr fiː dˈdoːħa ʃaˈdiːd warruˈtˤuːba ˈʕaːlja	The heat in Doha is severe and the humidity is high.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	sun assimilation ad-d/ar-r; aw in الدَّوحَة; pharyngeal ح; geminate رّ; Eastern-Arabian sun-assimilation/emphatic phonology per (albalushi2016)
ar-QA-003	مَا أَبْغَى عَشَا، أَبْغَى چَاي حَلِيب بَس.	ما أبغى عشا، أبغى چاي حليب بس.	maː ˈʔabɣaː ˈʕaʃaː ˈʔabɣaː ˈtʃaːj ħaˈliːb ˈbas	I don't want dinner, I only want milk tea.	hamza;pharyngeal;long_vowel;negation	abɣā (Gulf); چ=/tʃ/ karak-tea context (alshammari2026); ɣ voiced uvular
ar-QA-004	اِشْتَرَيت ثَلَاث ثِيَاب مِن السُّوق بِمِيتَين رِيَال.	اشتريت ثلاث ثياب من السوق بميتين ريال.	ʔiʃtaˈreːt θaˈlaːθ θiˈjaːb min asˈsuːɡ bimiːˈteːn riˈjaːl	I bought three garments from the market for two hundred riyals.	qaf;interdental;sun_assim;geminate;long_vowel;diphthong;statement;number	double interdental ث (retention); ق=/ɡ/ (Gulf g-qaf, alshammari2026); mītēn monophthong ē
ar-QA-005	هَاذَا الظُّهُر الشَّمْس قَوِيَّة وَايِد عَالْبَحَر.	هاذا الظهر الشمس قوية وايد عالبحر.	ˈhaːðaː ˈɑðˤðˤuhur aʃˈʃams ɡaˈwijja ˈwaːjid ˈʕaːlbaħar	This noon the sun is very strong over the sea.	qaf;interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	ظ=/ðˤ/ retained; ق=/ɡ/ gawiyya; wāyid (Gulf); ʕa-l contraction; interdental ظ retention and qaf→[ɡ] per (albalushi2016)
ar-QA-006	تَعَال شُوف هَالْجِهَاز الْجَدِيد.	تعال شوف هالجهاز الجديد.	taˈʕaːl ˈʃuːf haːldʒiˈhaːz aldʒaˈdiːd	Come see this new device.	jim;pharyngeal;long_vowel;imperative	imperatives taʕal/shuf; ha- demonstrative; ǧīm per the spec's primary /dʒ/ (alshammari2026)
ar-QA-007	الجَو مُو بَارِد وَايِد.	الجو مو بارد وايد.	ˈaldʒoː muː ˈbaːrid ˈwaːjid	The weather isn't very cold.	jim;long_vowel;diphthong;statement;negation	muu negation + waːjid intensifier (Gulf; albalushi2016); ج=/dʒ/ in aldʒoː, aw→oː monophthong (jaw)
ar-QA-008	بِيش هَذَا؟ بِخَمْسِين رِيَال.	بيش هذا؟ بخمسين ريال.	ˈbiːʃ ˈhaðaː bixamˈsiːn riˈjaːl	How much is this? Fifty riyals.	interdental;long_vowel;question;number	bēsh interrogative 'how much' (Gulf; albalushi2016); interdental ð retained in haðaː; long ī bīsh
ar-QA-009	المَوعِد بَاچِر السَّاعَة خَمْس.	الموعد باچر الساعة خمس.	alˈmoːʕid ˈbaːtʃir asˈsaːʕa ˈxams	The appointment is tomorrow at five.	ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;number	bāchir 'tomorrow' — kaf-affrication ك→[tʃ] adjacent to /i/ (alshammari2026); mawʕid→moːʕid monophthong; sun assim as-s
ar-QA-010	أَهْلِي سَاكْنِين فِي الوَكْرَة.	أهلي ساكنين في الوكرة.	ˈʔahliː saːkˈniːn fiː lˈwakra	My family lives in Al Wakrah.	kaf;hamza;ta_marbuta;long_vowel;statement	ahlī/sāknīn residence frame (Gulf; albalushi2016); ta marbuta liaison in al-wakra
