id	sentence	raw	ipa	gloss_en	features	notes
ar-SY-001	مَرْحَبَا، كِيفَك الْيَوم؟ صَارْلِي زَمَان مَا شُفْتَك.	مرحبا، كيفك اليوم؟ صارلي زمان ما شفتك.	ˈmarħabaː ˈkiːfak alˈjoːm ˈsˤɑːrliː zaˈmaːn ˈmaː ˈʃuftak	Hello, how are you today? It's been a while since I saw you.	kaf;emphatic;pharyngeal;long_vowel;diphthong;question	kīfak greeting (cowell1964 p.13); monophthong /iː/ in kīf < kayf (almbark2015)
ar-SY-002	اَلطَّقْس حِلُو الْيَوم وَالسَّمَا صَافْيِة بِدُون غْيُوم.	الطقس حلو اليوم والسما صافية بدون غيوم.	ɑtˤˈtˤɑʔs ˈħiluː lˈjoːm ˈwassamaː ˈsˤɑːfje biˈduːn ˈɣjuːm	The weather is nice today and the sky is clear without clouds.	qaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	emphatic ط; Damascene final -e in ṣāfye (cowell1964 §imala; fadda2016); initial cluster ɣj-
ar-SY-003	مَا بَدِّي قَهْوِة، بْفَضِّل شَاي سَاخِن بِالنَّعْنَاع.	ما بدي قهوة، بفضل شاي ساخن بالنعناع.	ˈmaː ˈbaddiː ˈʔahwe ˈbfɑdˤdˤil ˈʃaːj ˈsaːxin binnaʕˈnaːʕ	I don't want coffee, I prefer hot tea with mint.	qaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;negation	baddi 'I want' (cowell1964 p.415); ق=/ʔ/ in ʔahwe; b-imperfect بْفَضِّل; geminates دّ ضّ
ar-SY-004	جَارِتْنَا عَم تِطْبُخ مَجَدَّرَة عَالْغَدَا لِوْلَادَا.	جارتنا عم تطبخ مجدرة عالغدا لولادا.	ʒaːˈritnaː ˈʕam ˈtitˤbux maˈʒaddara ˈʕaːlɣadaː liwˈlaːdaː	Our neighbour is cooking mujaddara for lunch for her children.	jim;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;statement	ج=/ʒ/ (cowell1964 ch.1; almbark2015); progressive ʕam (cowell1964 p.320); geminate دّ
ar-SY-005	قَدَّيْش صَارْ عَدَد التَّلَامِيذ بِالصَّفّ التَّالِت؟	قديش صار عدد التلاميذ بالصف التالت؟	ʔadˈdeːʃ ˈsˤɑːr ˈʕadad attalaːˈmiːd bisˤˈsˤɑff atˈtaːlit	How many pupils are there now in the third class?	qaf;interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;question;number	ʔaddēš interrogative (cowell1964 p.567); ث→/t/ in tālit (cowell1964 ch.1); sun assimilation at-t
ar-SY-006	خُود هَالْمَصَارِي وْبَعْدَين اِسْأَل عَن السِّعِر.	خود هالمصاري وبعدين اسأل عن السعر.	ˈxuːd haːlmɑˈsˤɑːriː wbaʕˈdeːn ˈʔisʔal ˈʕan ˈassiʕir	Take this money and then ask about the price.	hamza;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;imperative	Damascene imperatives xud/is'al (cowell1964); hamza in اسأل kept; ha- demonstrative prefix
ar-SY-007	اِلْجَوّ مُو شَوب الْيَوم وِالسَّمَا مْغَيْمِة.	الجو مو شوب اليوم والسما مغيمة.	ilˈʒaww ˈmuː ˈʃoːb alˈjoːm ˈwissamaː ˈmɣeːme	The weather isn't hot today and the sky is cloudy.	jim;ta_marbuta;sun_assim;geminate;long_vowel;diphthong;statement;negation	muː negation (cowell1964); geminate ww in jaww kept unmonophthongized; šōb 'hot' & mɣēme 'cloudy' Damascene (cowell1964); aw→oː, ay→eː (almbark2015)
ar-SY-008	قَدَّيش كِيلُو الْبَنَدُورَة؟ بِخَمْس لِيرَات وِنُصّ.	قديش كيلو البندورة؟ بخمس ليرات ونص.	ʔadˈdeːʃ ˈkiːluː lbanaˈduːra biˈxams liːˈraːt wiˈnusˤsˤ	How much is a kilo of tomatoes? Five and a half lira.	qaf;kaf;ta_marbuta;emphatic;geminate;long_vowel;diphthong;question;number	ʔaddēš interrogative (cowell1964); banadūra 'tomato' Levantine (cowell1964); ق=/ʔ/; geminate ṣṣ in nuṣṣ
ar-SY-009	اِلْمَوعِد السَّاعَة تْلَاتِة وِنُصّ بَعْد الضُّهُر.	الموعد الساعة تلاتة ونص بعد الضهر.	ilˈmoːʕid asˈsaːʕa ˈtlaːte wiˈnusˤsˤ ˈbaʕd ˈɑdˤdˤuhur	The appointment is at half past three in the afternoon.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	mōʕid, ay→eː; tlāte 'three' with initial cluster & final imāla -e (cowell1964; almbark2015); ضّ urban /dˤ/; sun assim s-s
ar-SY-010	أَخِي الْكْبِير سَاكِن بِالشَّام مَعْ مَرْتُه وْوْلَادُه.	أخي الكبير ساكن بالشام مع مرته وولاده.	ˈʔaxiː lkˈbiːr ˈsaːkin biʃˈʃaːm ˈmaʕ ˈmartuh ˈwwlaːduh	My elder brother lives in Damascus with his wife and children.	kaf;hamza;sun_assim;pharyngeal;geminate;long_vowel;statement	kbīr with initial cluster; martu 'his wife', wlādu 'his children' — 3ms -u possessive (cowell1964); biš-šām sun assim; kbīr initial CC cluster
ar-SY-011	رُوح دُغْرِي وْبَعْدَين لِفّ عَالْيَمِين عَنْد الْجَامِع.	روح دغري وبعدين لف عاليمين عند الجامع.	ˈruːħ ˈduɣriː wbaʕˈdeːn ˈliff ʕaːljaˈmiːn ˈʕand alˈʒaːmiʕ	Go straight and then turn right at the mosque.	jim;pharyngeal;geminate;long_vowel;diphthong;imperative	rūḥ imperative; duɣri 'straight ahead' Levantine (cowell1964); liff imperative w/ geminate ff; ج=/ʒ/ in jāmiʕ; ay→eː in baʕdēn/yamīn
ar-SY-012	اَلْأَكِل كَان طَيِّب بَسّ الشُّورْبَة كَانِت بَارْدِة.	الأكل كان طيب بس الشوربة كانت باردة.	ˈalʔakil ˈkaːn ˈtˤajjib ˈbass aʃˈʃuːrba ˈkaːnit ˈbaːrde	The food was good but the soup was cold.	kaf;hamza;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	bass 'but' Levantine (cowell1964); hamza in ʔakil; geminate yy in ṭayyib; bārde final imāla -e; ت=/t/ kānit
ar-SY-013	وَيْن رَايِح؟ مَا بَعْرِف.	وين رايح؟ ما بعرف.	ˈweːn ˈraːjiħ ˈmaː ˈbaʕrif	Where are you going? I don't know.	pharyngeal;long_vowel;diphthong;question;negation	wēn 'where' Damascene, ay→eː via added وَيْ→[weː] grapheme (cowell1964; almbark2015 §1.1); mā baʕrif negation (cowell1964); rāyeḥ
ar-SY-014	كَم وَاحَد إِجَا مْبَارِح؟ إِجَا سَبْعَة.	كم واحد إجا مبارح؟ إجا سبعة.	ˈkam ˈwaːħad ˈʔiʒaː ˈmbaːriħ ˈʔiʒaː ˈsabʕa	How many people came yesterday? Seven came.	jim;kaf;hamza;ta_marbuta;pharyngeal;long_vowel;question;number	kam + wāḥad count; ʔija 'came' Levantine perfect (cowell1964); mbāreḥ 'yesterday' with initial cluster (cowell1964); sabʕa 'seven'
ar-SY-015	إِزَا جِيت بَكِّير مِنْرُوح سَوَا.	إزا جيت بكير منروح سوا.	ˈʔizaː ˈʒiːt bakˈkiːr minˈruːħ ˈsawaː	If you come early we'll go together.	jim;kaf;hamza;pharyngeal;geminate;long_vowel;diphthong;statement	iza conditional (cowell1964); geminate kk in bakkīr 'early'; mn-imperfect minrūḥ 'we go' (cowell1964); ج=/ʒ/ in jīt; sawa 'together'
ar-SY-016	رُحِت مْبَارِح عَ السُّوق وْجِبِت سَمَك طَازَة.	رحت مبارح ع السوق وجبت سمك طازة.	ˈruħit ˈmbaːriħ ˈʕa sˈsuːʔ ˈwʒibit ˈsamak ˈtˤɑːza	I went to the market yesterday and brought fresh fish.	qaf;jim;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	ruḥit/jibit 1sg -it perfect (cowell1964); ʕa+article عَ السُّوق → ʕa s-sūʔ elision; ق=/ʔ/; ج=/ʒ/; ṭāza 'fresh'
