id	sentence	raw	ipa	gloss_en	features	notes
ar-SA-x-hejaz-001	كِيف حَالَك يَا شَيخ؟ اِنْتَ كُوَيِّس الْيَوم وَلَّا لَأ؟	كيف حالك يا شيخ؟ انت كويس اليوم ولا لأ؟	ˈkiːf ˈħaːlak jaː ˈʃeːx ˈʔinta kuˈwajjis alˈjoːm ˈwallaː ˈlaʔa	How are you, sheikh? Are you well today or not?	kaf;hamza;pharyngeal;geminate;long_vowel;diphthong;question	kiif haalak greeting (omar1975); ay→eː in sheekh; walla la' tag question. Row corrected: earlier izzayyak/innaharda were Cairene lexicon, not Hejazi
ar-SA-x-hejaz-002	اَلْجَوّ فِي جِدَّة حَارّ وَرَطِب طُول السَّنَة.	الجو في جدة حار ورطب طول السنة.	alˈdʒaww fiː ˈdʒidda ˈħaːrr ˈwarɑtˤib ˈtˤuːl ˈassana	The weather in Jeddah is hot and humid all year.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ج=/dʒ/ ǧidda (abdoh2010); geminates وّ دّ; emphatic ط
ar-SA-x-hejaz-003	مَا أَبْغَى قَهْوَة دَحِّين، أَبْغَى شَاهِي بِالنَّعْنَاع.	ما أبغى قهوة دحين، أبغى شاهي بالنعناع.	maː ˈʔabɣaː ˈɡahwa daħˈħiːn ˈʔabɣaː ˈʃaːhiː binnaʕˈnaːʕ	I don't want coffee now, I want mint tea.	qaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;negation	abgha 'want'; dahhiin 'now' — the Hejazi form (abdoh2010), replacing the earlier Cairene dilwaqti; qaf→g in gahwa
ar-SA-x-hejaz-004	اِشْتَرَيت تَلَات كَيلُو تَمَر هِنْدِي مِن السُّوق بِعِشْرِين رِيَال.	اشتريت تلات كيلو تمر هندي من السوق بعشرين ريال.	ʔiʃtaˈreːt taˈlaːt ˈkeːluː ˈtamar ˈhindiː min asˈsuːɡ biʕiʃˈriːn riˈjaːl	I bought three kilos of tamarind from the market for twenty riyals.	qaf;kaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;number	ث→/t/ talāt (omar1975: urban Hejazi stop reflexes); ق=/ɡ/ sūg
ar-SA-x-hejaz-005	هَادَا الظَّابِط رِجِع مِن الدَّوَام مَبْسُوط.	هادا الظابط رجع من الدوام مبسوط.	ˈhaːdaː dˤˈdˤɑːbitˤ ˈridʒiʕ min addaˈwaːm mabˈsuːtˤ	This officer came back from work happy.	jim;interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	hāda with ذ→/d/ (urban Hejazi, omar1975); ظ→/dˤ/ stop (abdoh2010); sun assimilation ad-d
ar-SA-x-hejaz-006	تَعَال شُوف الْبَيْت الْجَدِيد وَقُول لِي رَايَك.	تعال شوف البيت الجديد وقول لي رايك.	taˈʕaːl ˈʃuːf alˈbeːt aldʒaˈdiːd waˈɡuːl liː ˈraːjak	Come see the new house and tell me your opinion.	qaf;jim;kaf;pharyngeal;long_vowel;diphthong;imperative	Hejazi imperatives taʕal/shuf/gul; ay→ē monophthongization in albeːt (omar1975); qaf→g
ar-SA-x-hejaz-007	الْجَوّ الْيَوم مُو بَارِد، حِلُو.	الجو اليوم مو بارد، حلو.	alˈdʒaww alˈjoːm muː ˈbaːrid ˈħiluː	The weather today isn't cold, it's nice.	jim;pharyngeal;geminate;long_vowel;diphthong;negation	predicate negator مو /muː/ (Hejazi, omar1975), not Cairene mish; ħilu 'nice'; aw→oː in alyoːm; جو geminate ww
ar-SA-x-hejaz-008	بِكَم هَادَا؟ بِخَمْسَة عَشَر رِيَال.	بكم هادا؟ بخمسة عشر ريال.	ˈbikam ˈhaːdaː biˈxamsa ˈʕaʃar riˈjaːl	How much is this? Fifteen riyals.	kaf;ta_marbuta;pharyngeal;long_vowel;question;number	price question بِكَم bikam (omar1975); هَادَا hāda demonstrative (abdoh2010)
ar-SA-x-hejaz-009	الْمَوْعِد بُكْرَة السَّاعَة أَرْبَعَة.	الموعد بكرة الساعة أربعة.	alˈmoːʕid ˈbukra sˈsaːʕa ˈʔarbaʕa	The appointment is tomorrow at four o'clock.	kaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	aw→oː in mōʕid (omar1975); bukra 'tomorrow'; sun assimilation as-sāʕa
ar-SA-x-hejaz-010	أَهْلِي سَاكْنِين فِي الْمَدِينَة.	أهلي ساكنين في المدينة.	ˈʔahliː saːkˈniːn fiː lmaˈdiːna	My family lives in Medina.	kaf;hamza;ta_marbuta;long_vowel;statement	ahl 'family', active participle sāknīn for present residence (omar1975)
