id	sentence	raw	ipa	gloss_en	features	notes
xaa-001	لَبَنْ أُمُّو فِي فُمُّو.	لبن أمو في فمو.	laban ʔummuː fiː fummuː	His mother's milk is in his mouth.	hamza;geminate;long_vowel;statement	Attested 913 CE zaǧal (Ibn Ḥayyān, al-Muqtabis V), the oldest preserved Andalusi text (corriente2015:237 via vicente2020); Andalusi 3sg.m possessive -u ⟨-o⟩ ⟨فمو⟩ /fummu/ and geminate مّ.
xaa-002	رَاسْ بَنْ حَفْصُونْ فِي حُكْمُو.	راس بن حفصون في حكمو.	raːs ban ħafsˤuːn fiː ħukmuː	Ban Ḥafṣūn's head is at his disposal.	kaf;emphatic;pharyngeal;long_vowel;statement	Second hemistich of the same 913 CE zaǧal (corriente2015:237 via vicente2020); pharyngeal ح, emphatic ص, and stressed short -u marked ⟨و⟩ per the Andalusi matres-lectionis stress convention (vicente2020 §3.1.1).
xaa-003	قَالَ الشَّيْخُ إِنَّ الصِّدْقَ خَيْرْ مِنْ كُلِّ شَيْءْ.	قال الشيخ إن الصدق خير من كل شيء.	qaːla ʃʃajxu ʔinna sˤsˤidqa xajr min kulli ʃajʔ	The elder said that truthfulness is better than anything.	qaf;kaf;hamza;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	Voiceless /q/ [q] (sedentary-type, not Bedouin [g]) diagnostic of Andalusi (vicente2020 p.228; corriente2015:64); sun assimilation الصِّدْق, geminate نّ, diphthong خَيْر /aj/.
xaa-004	سِيذِي جَاءَ مِنْ غَرْنَاطَةْ فِي يَوْمِ الْأَحَذّ.	سيذي جاء من غرناطة في يوم الأحذ.	siːðiː dʒaːʔa min ɣarnaːtˤa fiː jawmi lʔaħaðð	My lord came from Granada on Sunday.	jim;interdental;hamza;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	Spirantised postvocalic /d/→[ð] in Romance-contact forms سِيذِي /siːði/ 'my lord' and الأَحَذّ /al-ħaðð/ 'Sunday' (corriente2015 via vicente2020 §3.1.1); Granada retained strong imāla per corriente2013.
xaa-005	نَخْرُجْ لِوِلْدِي فِي كُلِّ صَبَاحْ.	نخرج لولدي في كل صباح.	naxrudʒ liwildiː fiː kulli sˤabaːħ	I take after my father every morning.	jim;kaf;emphatic;pharyngeal;geminate;long_vowel;statement	Andalusi calque on Romance 'salgo a mi padre' with li + n-…imperfect نَخْرُج (vicente2020 ex.2c, corriente2015:233); wīld 'father' (imāla of wālid, corriente2013) — engine emits OA vowel, imāla is a documented spec lead.
xaa-006	الظَّهِيرَةْ حَارَّةْ وَالنَّاسْ فِي الظِّلّ.	الظهيرة حارة والناس في الظل.	aðˤðˤahiːra ħaːrra wannaːs fiː ðˤðˤill	The midday heat is fierce and the people are in the shade.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	Emphatic interdental ظ /ðˤ/ retained (three OA interdentals kept, corriente2015:29 via vicente2020 p.228); ta marbuta ة, geminate رّ, sun assimilation الظِّلّ.
xaa-007	أَعْطِنِي الْمُقَاصّ وَالشَّعْرْ طَوِيلْ.	أعطني المقاص والشعر طويل.	ʔaʕtˤiniː lmuqaːsˤsˤ waʃʃaʕr tˤawijl	Give me the scissors, the hair is long.	qaf;hamza;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;imperative	muqáṣṣ 'scissors' — an OA short vowel written long ⟨مقاص⟩ to mark contrastive Andalusi stress (vicente2020 §3.1.1; corriente2015:75–78); emphatics ص ط; diphthong /aw/ realised in طَوِيل /tˤawijl/.
xaa-008	الْأُسْقُفْ دَخَلَ الْكَنِيسَةْ بَعْدَ الْقُدَّاسْ.	الأسقف دخل الكنيسة بعد القداس.	alʔusquf daxala lkaniːsa baʕda lquddaːs	The bishop entered the church after the mass.	qaf;kaf;hamza;ta_marbuta;pharyngeal;geminate;long_vowel;statement	usqúf 'bishop' — Andalusi stress on an etymologically short vowel (vicente2020 §3.1.1); Mozarab/Christian register lexicon; geminate القُدَّاس, ta marbuta الكَنِيسَة.
xaa-009	شُفْتُ الْقُنْفُذْ فِي الْجَذْوَلْ قُرْبَ الدَّارْ.	شفت القنفذ في الجذول قرب الدار.	ʃuftu lqunfuð fiː ldʒaðwal qurba ddaːr	I saw the hedgehog in the creek near the house.	qaf;jim;interdental;sun_assim;geminate;long_vowel;statement	šāf 'to see' (Maghrebi/Andalusi, Moroccan transfer, vicente2020 fn.12); qunfúd 'hedgehog' stressed-short form and ǧaðwal 'creek' with spirantised /d/→[ð] (corriente2015 via vicente2020).
xaa-010	حَفِيذِي زَغِيرْ وَيَلْعَبْ فِي الطِّينْ.	حفيذي زغير ويلعب في الطين.	ħafiːðiː zaɣiːr wajalʕab fiː tˤtˤiːn	My little nephew plays in the mud.	interdental;sun_assim;emphatic;pharyngeal;long_vowel;diphthong;statement	ḥafīð 'nephew' with spirantised /d/→[ð] (corriente2015 via vicente2020 §3.1.1); pharyngeal ع, emphatic ط, sun assimilation الطِّين.
