id	sentence	raw	ipa	gloss_en	features	notes
ar-x-peninsular-001	كَيف حَالَك الْيَوم؟ عَادَك طَيِّب؟	كيف حالك اليوم؟ عادك طيب؟	ˈkajf ˈħaːlak alˈjawm ˈʕaːdak ˈtˤɑjjib	How are you today? Are you still well?	kaf;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	pan-Peninsular ʕād- 'still' + suffix (watson2002; ingham1994); aw/ay diphthongs retained (kayf, al-yawm) — node conservative rank-1
ar-x-peninsular-002	الْيَوم بَارِد وَالسَّمَاء صَافِيَة.	اليوم بارد والسماء صافية.	alˈjawm ˈbaːrid wassaˈmaːʔ ˈsˤɑːfija	Today is cold and the sky is clear.	hamza;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	diphthong retained (al-yawm); hamza final samāʔ; ta_marbuta; sun assimilation none; diphthong retention and final hamza per (watson2002)
ar-x-peninsular-003	مَا أَبْغَى قَهْوَة، أَبْغَى شَاهِي.	ما أبغى قهوة، أبغى شاهي.	ˈmaː ˈʔabɣaː ˈqahwa ˈʔabɣaː ˈʃaːhiː	I don't want coffee, I want tea.	qaf;hamza;ta_marbuta;long_vowel;negation	pan-Peninsular abġa 'I want' (ingham1994); ق→q retained is node rank-1 (omar1975 urban Hijazi retention); negation mā
ar-x-peninsular-004	اِشْتَرَيت ثَلَاثَة أَكْيَاس زَبِيب مِن السُّوق.	اشتريت ثلاثة أكياس زبيب من السوق.	ʔiʃtaˈrajt θaˈlaːθa ʔakˈjaːs zaˈbiːb ˈmin asˈsuːq	I bought three bags of raisins from the market.	qaf;interdental;kaf;hamza;ta_marbuta;sun_assim;geminate;long_vowel;diphthong;statement;number	ث retained /θ/ fricative-first is node rank-1 (watson2002); ق→q (sūq); number; diphthong akyās
ar-x-peninsular-005	هَذَا الرِّجَّال يِذْكُر الظُّهُر ذَاك.	هذا الرجال يذكر الظهر ذاك.	ˈhaðaː rridʒˈdʒaːl ˈjiðkur ˈɑðˤðˤuhur ˈðaːk	This man remembers that noon.	jim;interdental;kaf;sun_assim;emphatic;geminate;long_vowel;statement	ذ retained /ð/ and ظ retained /ðˤ/ fricative-first (watson2002; albalushi2016); geminate جّ; ḏāk demonstrative
ar-x-peninsular-006	قُوم رُوح لِلسُّوق وَجِيب سَمَك طَازَج.	قوم روح للسوق وجيب سمك طازج.	ˈquːm ˈruːħ lisˈsuːq waˈdʒiːb ˈsamak ˈtˤɑːzadʒ	Get up, go to the market and get fresh fish.	qaf;jim;kaf;emphatic;pharyngeal;geminate;long_vowel;imperative	peninsular imperatives gūm/rūḥ/jīb; ق→q (sūq); ج→dʒ; long vowels; sedentary qāf [q] and ǧīm→[dʒ] per (watson2002)
ar-x-peninsular-007	الْيَوم مُو حَارّ وَالسَّمَاء فِيهَا غِيُوم.	اليوم مو حار والسماء فيها غيوم.	alˈjawm ˈmuː ˈħaːrr wassaˈmaːʔ ˈfiːhaː ˈɣiːuːm	Today is not hot and there are clouds in the sky.	hamza;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	negator mū; diphthong retained (al-yawm); hamza samāʔ; geminate رّ; diphthong retention and emphatic/gemination phonology per (watson2002)
ar-x-peninsular-008	بِكَم الْكِيلُو؟ بِخَمْسَة وَنُصّ.	بكم الكيلو؟ بخمسة ونص.	ˈbikam alˈkiːluː biˈxamsa waˈnusˤsˤ	How much is the kilo? Five and a half.	kaf;ta_marbuta;emphatic;long_vowel;question;number	bikam question; geminate صّ; number; emphatic ص; Peninsular emphatic/gemination phonology per (watson2002)
ar-x-peninsular-009	الْمَوْعِد السَّاعَة ثَلَاثَة وَنُصّ الْعَصِر.	الموعد الساعة ثلاثة ونص العصر.	alˈmawʕid asˈsaːʕa θaˈlaːθa waˈnusˤsˤ ˈalʕɑsˤir	The appointment is at half past three in the afternoon.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	ث retained /θ/ (watson2002); sun assimilation as-s; emphatic ص; geminate صّ
ar-x-peninsular-010	أَخُوي الْكِبِير سَاكِن فِي الْمَدِينَة.	أخوي الكبير ساكن في المدينة.	ʔaˈxuːj alkiˈbiːr ˈsaːkin ˈfiː lmaˈdiːna	My elder brother lives in the city.	kaf;hamza;ta_marbuta;long_vowel;statement	long vowels; pan-Peninsular axūy; kaf plain /k/; Peninsular vowel phonology per (watson2002)
