id	sentence	raw	ipa	gloss_en	features	notes
ar-IQ-x-qeltu-001	قُلْتُ لَك الْيَوم رَاح أَزُورَك بِالْبَيت.	قلت لك اليوم راح أزورك بالبيت.	ˈqultu ˈlak alˈjoːm ˈraːħ ʔaˈzuːrak bilˈbeːt	I told you that today I will visit you at home.	qaf;kaf;hamza;pharyngeal;long_vowel;diphthong;statement	qeltu-diagnostic qultu 'I said' with /q/ (blanc1964 §1: the qeltu/gilit split); future rāḥ
ar-IQ-x-qeltu-002	اَلْقَهْوَة بِالْمَوصِل طَيِّبَة وَالنَّاس كِرَام.	القهوة بالموصل طيبة والناس كرام.	alˈqahwa bilˈmoːsˤil ˈtˤɑjjiba wanˈnaːs kiˈraːm	The coffee in Mosul is good and the people are generous.	qaf;kaf;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	ق=/q/ retained in qahwa (blanc1964; jasim2020: Mosul qeltu); geminate يّ; sun assimilation an-n
ar-IQ-x-qeltu-003	مَا أَعْرِف ثَلَاثَة أَشْخَاص يِحْكُون مِثْلَك.	ما أعرف ثلاثة أشخاص يحكون مثلك.	ˈmaː ˈʔaʕʁif θaˈlaːθa ʔaʃˈxɑːsˤ jiħˈkuːn ˈmiθlak	I don't know three people who talk like you.	interdental;kaf;hamza;ta_marbuta;emphatic;pharyngeal;long_vowel;negation;number	interdental ث retained /θ/ (blanc1964: qeltu retains interdentals); yiḥkūn 'they speak' with k (NO affrication, unlike gilit)
ar-IQ-x-qeltu-004	هَاذَا الظَّابُط قَال كِلْشِي رَاح يَكُون زَين.	هاذا الظابط قال كلشي راح يكون زين.	ˈhaːðaː ðˤˈðˤɑːbutˤ ˈqaːl ˈkilʃiː ˈraːħ jaˈkuːn ˈzeːn	This officer said everything will be fine.	qaf;interdental;kaf;sun_assim;emphatic;pharyngeal;long_vowel;diphthong;statement	ظ=/ðˤ/ retained; ق=/q/ in qāl (vs gilit gāl, blanc1964 §3.25); kilši 'everything' (jasim2020)
ar-IQ-x-qeltu-005	شْقَد صَار عَدَد التَّلَامِيذ بِصَفّ الْعَرَبِي؟	شقد صار عدد التلاميذ بصف العربي؟	ˈʃqad ˈsˤɑːr ˈʕadad attalaːˈmiːð biˈsˤɑff alˈʕarabiː	How many pupils are there now in the Arabic class?	qaf;interdental;sun_assim;emphatic;pharyngeal;geminate;long_vowel;question;number	šqad 'how much' with /q/ (jasim2020); ذ retained /ð/ in talāmīð; sun assimilation at-t
ar-IQ-x-qeltu-006	قُوم اِفْتَح الْبَاب وْجِيب الْجَاي.	قوم افتح الباب وجيب الجاي.	ˈquːm ˈʔiftaħ alˈbaːb ˈwdʒiːb alˈdʒaːj	Get up, open the door and bring the tea.	qaf;jim;pharyngeal;long_vowel;imperative	qeltu imperatives qum/iftah/jib keep /q/ and the affricate ǧīm (blanc1964) — the gilit contrast in one frame
ar-IQ-x-qeltu-007	الْيَوم الْجَوّ بَارِد وَمَا أَكُو شَمِس.	اليوم الجو بارد وما أكو شمس.	alˈjoːm alˈdʒaww ˈbaːrid ˈwamaː ˈʔakuː ˈʃamis	Today the weather is cold and there is no sun.	jim;hamza;geminate;long_vowel;diphthong;statement;negation	aku/maku 'there is/isn't' pan-Iraqi existential; ay->eː monophthong in yōm (jasim2020: OA /aj/>[eː] in qeltu); geminate جّ ww kept; negation mā
ar-IQ-x-qeltu-008	بِكَم كِيلُو الطَّمَاطَة؟ بِأَلْف وْخَمِس مِيَة.	بكم كيلو الطماطة؟ بألف وخمس مية.	ˈbikam ˈkiːluː tˤtˤɑˈmɑːtˤɑ biˈʔalf ˈwxamis ˈmija	How much is a kilo of tomatoes? One thousand five hundred.	kaf;hamza;ta_marbuta;sun_assim;emphatic;long_vowel;question;number	plain /k/ in kīlū — no affrication (jasim2020 §2.9.2, vs gilit); sun assimilation aṭ-ṭ; number alf w-xamsimya
ar-IQ-x-qeltu-009	مَوعِدْنَا سَاعَة سَبْعَة عِنْد الْجَامِع.	موعدنا ساعة سبعة عند الجامع.	moːˈʕidnaː ˈsaːʕa ˈsabʕa ˈʕind alˈdʒaːmiʕ	Our appointment is at seven o'clock by the mosque.	jim;ta_marbuta;pharyngeal;long_vowel;diphthong;number;statement	ǧīm [dʒ] retained in jāmiʕ (blanc1964; jasim2020 §2.4); aw->oː in mawʕid; number sabʕa
ar-IQ-x-qeltu-010	أَبُويَ يِسْكُن بِالْمَوصِل وِيَّا أَهَلْنَا.	أبوي يسكن بالموصل ويا أهلنا.	ʔaˈbuːja ˈjiskun bilˈmoːsˤil ˈwijjaː ʔaˈhalnaː	My father lives in Mosul with our family.	kaf;hamza;emphatic;geminate;long_vowel;diphthong;statement	plain /k/ in yiskun (jasim2020 §2.9.2 — no kaf affrication in Muslawi qeltu); Mosul the qeltu heartland (blanc1964 §2); wiyya 'with' Iraqi
