id	sentence	raw	ipa	gloss_en	features	notes
ar-001	السَّلَامُ عَلَيْكُمْ، كَيْفَ حَالُكَ الْيَوْمَ يَا صَدِيقِي الْعَزِيزُ؟	السلام عليكم، كيف حالك اليوم يا صديقي العزيز؟	assaˈlaːmu ʕaˈlajkum ˈkajfa ˈħaːluka lˈjawma ˈjaː sˤɑˈdiːqiː lʕaˈziːzu	Peace be upon you, how are you today my dear friend?	qaf;kaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	sun_assim written as shadda on س (ryding2005); diphthongs /aj/ in عَلَيْكُمْ، كَيْفَ retained in MSA (watson2002)
ar-002	الطَّقْسُ حَارٌّ جِدًّا فِي الصَّيْفِ وَالسَّمَاءُ صَافِيَةٌ.	الطقس حار جدا في الصيف والسماء صافية.	ɑtˤˈtˤɑqsu ˈħaːrrun ˈdʒiddan ˈfiː sˤˈsˤɑjfi wassaˈmaːʔu sˤɑːˈfijatun	The weather is very hot in summer and the sky is clear.	qaf;jim;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	emphatics ط ص with backed vowels (thelwall1990); geminates رّ دّ; final tanwin kept (formal MSA)
ar-003	ذَهَبَتْ ثَلَاثُ بَنَاتٍ إِلَى الْمَدْرَسَةِ فِي الصَّبَاحِ الْبَاكِرِ.	ذهبت ثلاث بنات إلى المدرسة في الصباح الباكر.	ˈðahabat θaˈlaːθu baˈnaːtin ˈʔilaː lmadˈrasati ˈfiː sˤsˤɑˈbaːħi lˈbaːkiri	Three girls went to school in the early morning.	interdental;kaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;statement;number	interdentals ذ ث retained in MSA (ryding2005 §2); ta marbuta in construct /-a(t)/
ar-004	لَا أُرِيدُ قَهْوَةً، أُفَضِّلُ كُوبَ شَايٍ بِالنَّعْنَاعِ.	لا أريد قهوة، أفضل كوب شاي بالنعناع.	ˈlaː ʔuˈriːdu ˈqahwatan ʔuˈfɑdˤdˤilu ˈkuːba ˈʃaːjin binnaʕˈnaːʕi	I don't want coffee, I prefer a cup of tea with mint.	qaf;kaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;negation	uvular /q/ retained (thelwall1990); geminate emphatic ضّ; tanwin kasr in شَايٍ
ar-005	اِشْتَرَيْتُ خَمْسَةَ أَظْرُفٍ زَرْقَاءَ وَغَلَّفْتُ الْهَدِيَّةَ بِوَرَقٍ ثَقِيلٍ.	اشتريت خمسة أظرف زرقاء وغلفت الهدية بورق ثقيل.	ʔiʃtaˈrajtu ˈxamsata ˈʔɑðˤrufin zarˈqaːʔa waɣalˈlaftu lhaˈdijjata biˈwaraqin θaˈqiːlin	I bought five blue envelopes and wrapped the gift in heavy paper.	qaf;interdental;hamza;ta_marbuta;emphatic;geminate;long_vowel;diphthong;statement;number	emphatic interdental ظ /ðˤ/ (watson2002); uvular غ /ɣ/; geminates لّ يّ; hamza أ ء
ar-006	خُذْ هَذَا الْكِتَابَ ثُمَّ قِفْ عِنْدَ الْبَابِ.	خذ هذا الكتاب ثم قف عند الباب.	ˈxuð ˈhaðaː lkiˈtaːba ˈθumma ˈqif ˈʕinda lˈbaːbi	Take this book, then stand by the door.	qaf;interdental;kaf;pharyngeal;geminate;long_vowel;imperative	imperatives xudh/qif (no hamzat-wasl, so the pausal chain is clean); interdentals ذ in خذ/هذا; interdental inventory ث/ذ per (watson2002)
ar-007	اَلْجَوُّ لَيْسَ حَارًّا الْيَوْمَ وَالسَّمَاءُ غَائِمَةٌ.	الجو ليس حارا اليوم والسماء غائمة.	alˈdʒawwu ˈlajsa ˈħaːrran alˈjawma wassaˈmaːʔu ɣaːˈʔimatun	The weather is not hot today and the sky is cloudy.	jim;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	laysa negation; sun assimilation was-samaa'u; full i'rab kept pre-pausally (ryding2005)
ar-008	بِكَمِ الْكِيلُو؟ بِخَمْسَةِ دَنَانِيرَ وَنِصْفٍ.	بكم الكيلو؟ بخمسة دنانير ونصف.	ˈbikami lˈkiːluː biˈxamsati danaːˈniːra waˈnisˤfin	How much is the kilo? Five and a half dinars.	kaf;ta_marbuta;emphatic;long_vowel;question;number	bikami+article wasl chain; diptote danaaniira takes -a (ryding2005)
ar-009	اَلْمَوْعِدُ فِي السَّاعَةِ الثَّالِثَةِ وَالنِّصْفِ بَعْدَ الظُّهْرِ.	الموعد في الساعة الثالثة والنصف بعد الظهر.	alˈmawʕidu ˈfiː sˈsaːʕati θθaːˈliθati wanˈnisˤfi ˈbaʕda ðˤˈðˤuhri	The appointment is at half past three in the afternoon.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	triple sun-assimilation chain s/th/n plus emphatic dh in adh-dhuhr (watson2002)
ar-010	أَخِي الْكَبِيرُ يَسْكُنُ فِي الْمَدِينَةِ مَعَ زَوْجَتِهِ وَأَوْلَادِهِ.	أخي الكبير يسكن في المدينة مع زوجته وأولاده.	ˈʔaxiː lkaˈbiːru ˈjaskunu ˈfiː lmaˈdiːnati ˈmaʕa zawˈdʒatihi waʔawˈlaːdihi	My elder brother lives in the city with his wife and children.	jim;kaf;hamza;ta_marbuta;pharyngeal;long_vowel;diphthong;statement	article elision after vowel-final akhii; possessive suffix chain (ryding2005)
