id	sentence	raw	ipa	gloss_en	features	notes
ar-x-levantine-001	كِيفَك الْيَوم؟ صَارْلِي زَمَان مَا شُفْتَك.	كيفك اليوم؟ صارلي زمان ما شفتك.	ˈkiːfak alˈjoːm ˈsˤɑːrliː zaˈmaːn ˈmaː ˈʃuftak	How are you today? It's been a while since I saw you.	kaf;emphatic;long_vowel;diphthong;question	pan-Levantine kīfak greeting (cowell1964 p.13); ay→eː monophthong in al-yōm (almbark2015)
ar-x-levantine-002	الطَّقْس حِلُو الْيَوم وَالسَّمَا صَافْيِة.	الطقس حلو اليوم والسما صافية.	ɑtˤˈtˤɑʔs ˈħiluː lˈjoːm ˈwassamaː ˈsˤɑːfje	The weather is nice today and the sky is clear.	qaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	emphatic ط; Levantine final -e in ṣāfye (cowell1964 imala; fadda2016); sun assimilation as-s
ar-x-levantine-003	مَا بَدِّي قَهْوِة، بْفَضِّل شَاي سَاخِن.	ما بدي قهوة، بفضل شاي ساخن.	ˈmaː ˈbaddiː ˈʔahwe ˈbfɑdˤdˤil ˈʃaːj ˈsaːxin	I don't want coffee, I prefer hot tea.	qaf;ta_marbuta;emphatic;geminate;long_vowel;negation	pan-Levantine baddi 'I want' (cowell1964 p.415); ق→ʔ (ʔahwe) and b-imperfect are node rank-1; geminates دّ ضّ
ar-x-levantine-004	جَارِتْنَا عَم تِطْبُخ ثَلَاث صْحُون.	جارتنا عم تطبخ ثلاث صحون.	ʒaːˈritnaː ˈʕam ˈtitˤbux taˈlaːt ˈsˤħuːn	Our neighbour is cooking three dishes.	jim;interdental;emphatic;pharyngeal;long_vowel;statement;number	ج→ʒ node rank-1 (cowell1964; almbark2015); interdental ث→t stop reflex is node rank-1 (cotter2016); progressive ʕam
ar-x-levantine-005	هَالرِّجَّال عَم يْدَوِّر عَ الشُّغُل.	هالرجال عم يدور ع الشغل.	haːlrriʒˈʒaːl ˈʕam ˈjdawwir ˈʕa ˈaʃʃuɣul	This man is looking for work.	jim;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	ha- demonstrative; ج→ʒ; geminate جّ; sun assimilation aš-š; progressive ʕam
ar-x-levantine-006	خُود هَالْمَصَارِي وْرُوح عَ السُّوق.	خود هالمصاري وروح ع السوق.	ˈxuːd haːlmɑˈsˤɑːriː ˈwruːħ ˈʕa sˈsuːʔ	Take this money and go to the market.	qaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;imperative	Levantine imperatives xud/rūḥ (cowell1964); ha- demonstrative; ق→ʔ (sūʔ) node rank-1
ar-x-levantine-007	الطَّقْس مُو حِلُو الْيَوم وَالسَّمَا مْغَيِّمِة.	الطقس مو حلو اليوم والسما مغيمة.	ɑtˤˈtˤɑʔs ˈmuː ˈħiluː lˈjoːm ˈwassamaː ˈmɣajjime	The weather is not nice today and the sky is cloudy.	qaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;negation	negator mū; ay→eː in al-yōm (almbark2015); geminate يّ; final -e in mghayyme (cowell1964)
ar-x-levantine-008	قَدَّيْش الْكِيلُو؟ بِخَمْسَة وْنُصّ.	قديش الكيلو؟ بخمسة ونص.	ʔadˈdeːʃ alˈkiːluː biˈxamsa ˈwnusˤsˤ	How much is the kilo? Five and a half.	qaf;kaf;ta_marbuta;emphatic;geminate;long_vowel;diphthong;question;number	pan-Levantine ʔaddēsh interrogative (cowell1964 p.567); ق→ʔ; geminates دّ صّ
ar-x-levantine-009	الْمَوْعِد السَّاعَة ثَلَاثَة وْنُصّ بَعْد الضُّهُر.	الموعد الساعة ثلاثة ونص بعد الضهر.	alˈmoːʕid asˈsaːʕa taˈlaːta ˈwnusˤsˤ ˈbaʕd ˈɑdˤdˤuhur	The appointment is at half past three in the afternoon.	interdental;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	ث→t stop reflex (cotter2016); sun assimilation as-s/ad-d; emphatic ض
ar-x-levantine-010	أَخِي الْكْبِير سَاكِن بِالْمَدِينَة.	أخي الكبير ساكن بالمدينة.	ˈʔaxiː lkˈbiːr ˈsaːkin bilmaˈdiːna	My elder brother lives in the city.	kaf;hamza;ta_marbuta;long_vowel;statement	long vowels; initial cluster kb-; bi- locative
ar-x-levantine-011	رُوح دُغْرِي وْبَعْدَين لِفّ عَ الْيَمِين.	روح دغري وبعدين لف ع اليمين.	ˈruːħ ˈduɣriː wbaʕˈdeːn ˈliff ˈʕa ljaˈmiːn	Go straight ahead and then turn to the right.	pharyngeal;geminate;long_vowel;diphthong;imperative	pan-Levantine dughri 'straight' (cowell1964); imperative rūḥ; ay→eː in baʕdēn (almbark2015); geminate فّ
ar-x-levantine-012	الْأَكِل كَان طَيِّب بَسّ الشُّورْبَة كَانَت بَارْدَة.	الأكل كان طيب بس الشوربة كانت باردة.	ˈalʔakil ˈkaːn ˈtˤajjib ˈbass aʃˈʃuːrba ˈkaːnat ˈbaːrda	The food was good but the soup was cold.	kaf;hamza;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	geminate سّ (bass); sun assimilation aš-š; emphatic ط in ṭayyib
ar-x-levantine-013	وَيْن حَطَّيت الْمُفْتَاح؟ مَا لَقِيتُه.	وين حطيت المفتاح؟ ما لقيته.	ˈweːn ħɑtˤˈtˤeːt almufˈtaːħ ˈmaː laˈʔiːtuh	Where did you put the key? I did not find it.	qaf;emphatic;pharyngeal;long_vowel;diphthong;question;negation	pan-Levantine wēn 'where' (cowell1964); the word-initial ⟨وَيْ⟩ grapheme now monophthongizes to [weːn] on the grouping node (added وَيْ→[weː]/يَوْ→[joː] keys, matching ar-SY; cowell1964; almbark2015 §1.1), surfacing the node's documented ay→eː merger through the onset seam; geminate طّ; negation mā
ar-x-levantine-014	كَم وَاحَد إِجَا مْبَارِح؟	كم واحد إجا مبارح؟	ˈkam ˈwaːħad ˈʔiʒaː ˈmbaːriħ	How many came yesterday?	jim;kaf;hamza;pharyngeal;long_vowel;question;number	pan-Levantine ʔija 'came' + mbāriḥ 'yesterday' (cowell1964); ج→ʒ node rank-1; kam question
ar-x-levantine-015	إِذَا جِيت بَكِّير مْنِرُوح سَوَا.	إذا جيت بكير منروح سوا.	ˈʔidaː ˈʒiːt bakˈkiːr mniˈruːħ ˈsawaː	If you come early we go together.	jim;interdental;kaf;hamza;pharyngeal;geminate;long_vowel;diphthong;statement	conditional iza; ج→ʒ in jīt; geminate كّ; m-imperfect mnirūḥ (cowell1964)
