id	sentence	raw	ipa	gloss_en	features	notes
ar-YE-001	كَيف حَالَك الْيَوم يَا أَخِي؟ عَادَك طَيِّب؟	كيف حالك اليوم يا أخي؟ عادك طيب؟	ˈkajf ˈħaːlak alˈjawm ˈjaː ˈʔaxiː ˈʕaːdak ˈtˤɑjjib	How are you today my brother? Are you still well?	kaf;hamza;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	ʕād- 'still' + suffix (Sanaani, watson2002); diphthongs ay/aw retained (watson2002: Sanaani conservatism)
ar-YE-002	صَنْعَاء الْيَوم بَارِدَة وَالسَّمَاء صَافِيَة.	صنعاء اليوم باردة والسماء صافية.	sˤɑnˈʕaːʔ alˈjawm ˈbaːrida wassaˈmaːʔ ˈsˤɑːfija	Sanaa today is cold and the sky is clear.	hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	emphatic ص with backing; hamza final سَمَاء; sun assimilation as-s
ar-YE-003	مَا أَشْتِي قَهْوَة، أَشْتِي شَاهِي بِالْحَلِيب.	ما أشتي قهوة، أشتي شاهي بالحليب.	ˈmaː ˈʔaʃtiː ˈɡahwa ˈʔaʃtiː ˈʃaːhiː bilħaˈliːb	I don't want coffee, I want tea with milk.	qaf;hamza;ta_marbuta;pharyngeal;long_vowel;negation	aští 'I want' (hallmark Sanaani verb, watson2002 s.v. šty); ق=/ɡ/ gahwa (watson2002: Sanaani g)
ar-YE-004	اِشْتَرَيت ثَلَاثَة أَكْيَاس زَبِيب مِن السُّوق بِأَلْفَين رِيَال.	اشتريت ثلاثة أكياس زبيب من السوق بألفين ريال.	ʔiʃtaˈrajt θaˈlaːθa ʔakˈjaːs zaˈbiːb ˈmin asˈsuːɡ biʔalˈfajn riˈjaːl	I bought three bags of raisins from the market for two thousand riyals.	qaf;interdental;kaf;hamza;ta_marbuta;sun_assim;geminate;long_vowel;diphthong;statement;number	ث retained /θ/ (watson2002: Sanaani interdental retention); ق=/ɡ/ sūg
ar-YE-005	هَاذَا الرَّجُل يِذْكُر الظُّهُر ذَاك زَين.	هاذا الرجل يذكر الظهر ذاك زين.	ˈhaːðaː ˈarradʒul ˈjiðkur ˈɑðˤðˤuhur ˈðaːk ˈzajn	This man remembers that noon well.	jim;interdental;kaf;sun_assim;emphatic;geminate;long_vowel;diphthong;statement	ذ retained /ð/ in hāða/ðāk; ظ=/ðˤ/ retained (watson2002); zayn with ay retained (Sanaani conservatism)
ar-YE-006	قُوم رُوح لِلسُّوق، اِشْتِ سَمَك طَازَج.	قوم روح للسوق، اشت سمك طازج.	ˈɡuːm ˈruːħ lisˈsuːɡ ˈʔiʃti ˈsamak ˈtˤɑːzadʒ	Get up, go to the market — I want fresh fish.	qaf;jim;kaf;emphatic;pharyngeal;geminate;long_vowel;imperative	Sanaani imperatives gum/ruh/ishti — the ishti 'want' verb frame (Sanaani šty) (watson2002) with qaf→g
ar-YE-007	الْيَوم بَارِد وَمَا فِي مَطَر.	اليوم بارد وما في مطر.	alˈjawm ˈbaːrid ˈwamaː ˈfiː ˈmɑtˤɑr	Today is cold and there is no rain.	emphatic;long_vowel;diphthong;statement;negation	mā fī 'there isn't' negation; diphthong aw retained in al-yawm (watson2002: Ṣanʿānī diphthong retention)
ar-YE-008	بِكَم الْكِيلُو زَبِيب؟ بِأَرْبَعِين رِيَال فَقَط.	بكم الكيلو زبيب؟ بأربعين ريال فقط.	ˈbikam alˈkiːluː zaˈbiːb biʔarbaˈʕiːn riˈjaːl ˈfaɡɑtˤ	How much is the kilo of raisins? Forty riyals only.	qaf;kaf;hamza;emphatic;pharyngeal;long_vowel;question;number	bikam price question; fagaṭ 'only' with ق→/ɡ/ (watson2002 s.v. fagaṭ, §2.2 p.20)
ar-YE-009	الْمَوعِد السَّاعَة أَرْبَع الْعَصْر.	الموعد الساعة أربع العصر.	alˈmawʕid asˈsaːʕa ˈʔarbaʕ alˈʕɑsˤr	The appointment is at four o'clock in the afternoon.	hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	diphthong aw retained in mawʕid (watson2002); sun assimilation as-sāʕa
ar-YE-010	أَنَا سَاكِن فِي صَنْعَاء مَع أَهْلِي.	أنا ساكن في صنعاء مع أهلي.	ˈʔanaː ˈsaːkin ˈfiː sˤɑnˈʕaːʔ ˈmaʕ ˈʔahliː	I live in Sanaa with my family.	kaf;hamza;emphatic;pharyngeal;long_vowel;statement	ص emphatic backing in ṣanʿāʾ (watson2002 §2.2 p.20); pharyngeal ʕ retained
ar-YE-011	رُوح عَلَى طُول وَلِفّ يَمِين عِنْد الْجَامِع.	روح على طول ولف يمين عند الجامع.	ˈruːħ ˈʕalaː ˈtˤuːl waˈliff jaˈmiːn ˈʕind alˈdʒaːmiʕ	Go straight and turn right at the mosque.	jim;emphatic;pharyngeal;geminate;long_vowel;imperative	ج→/dʒ/ in jāmiʕ (watson2002 p.11: Ṣanʿānī jīm is palatoalveolar /dʒ/, not the Taʿizzī /ɡ/)
ar-YE-012	أَكَلْت الْغَدَا وَكَان لَذِيذ.	أكلت الغدا وكان لذيذ.	ʔaˈkalt ˈalɣadaː waˈkaːn laˈðiːð	I ate lunch and it was delicious.	interdental;kaf;hamza;long_vowel;statement	ذ retained /ð/ in laðīð (watson2002 §2.1.4 pp.14-15: interdental retention)
ar-YE-013	وَين الْمِفْتَاح؟ مَا هُو مَعِي.	وين المفتاح؟ ما هو معي.	ˈwajn almifˈtaːħ ˈmaː ˈhuː ˈmaʕiː	Where is the key? It is not with me.	pharyngeal;long_vowel;diphthong;question;negation	wayn with ay retained (watson2002); mi- prefix miftāḥ (cf mistaṭīl, watson2002 p.280); mā hū negation
ar-YE-014	كَم وَلَد عِنْدَك فِي الْبَيت؟	كم ولد عندك في البيت؟	ˈkam ˈwalad ˈʕindak ˈfiː lˈbajt	How many children do you have at home?	kaf;pharyngeal;long_vowel;diphthong;question	diphthong ay retained in bayt (watson2002)
ar-YE-015	لَو تِشْتِي، نَرُوح السُّوق بُكْرَة.	لو تشتي، نروح السوق بكرة.	ˈlaw ˈtiʃtiː naˈruːħ asˈsuːɡ ˈbukra	If you want, we will go to the market tomorrow.	qaf;kaf;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	tišti 'you want' (Ṣanʿānī šty verb, watson2002); ق→/ɡ/ sūg (watson2002 §2.2 p.20)
ar-YE-016	أَمْس اِشْتَرَيت خُبْز وَعَسَل مِن الدُّكَّان.	أمس اشتريت خبز وعسل من الدكان.	ˈʔams ʔiʃtaˈrajt ˈxubz ˈwaʕasal ˈmin addukˈkaːn	Yesterday I bought bread and honey from the shop.	kaf;hamza;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement	ishtarayt with ay retained (watson2002); sun assimilation ad-dukkān
ar-YE-017	أَشْتِي أَسَافِر عَدَن بَعْد الْعِيد.	أشتي أسافر عدن بعد العيد.	ˈʔaʃtiː ʔaˈsaːfir ˈʕadan ˈbaʕd alˈʕiːd	I want to travel to Aden after the Eid.	hamza;pharyngeal;long_vowel;statement	ašti 'I want' (Ṣanʿānī šty verb, watson2002); pharyngeal ʕ in ʕadan/ʕīd
ar-YE-018	أَلُو، مَع مَن؟ اِتَّصِل بِي بَعْدَين.	ألو، مع من؟ اتصل بي بعدين.	ˈʔaluː ˈmaʕ ˈman ˈʔittɑsˤil ˈbiː baʕˈdajn	Hello, who is this? Call me later.	hamza;emphatic;pharyngeal;geminate;long_vowel;diphthong;question;imperative	man 'who' retained (watson2002); geminate ṣṣ in ittaṣil; ay retained in baʕdayn
ar-YE-019	السَّلَام عَلَيكُم. وَعَلَيكُم السَّلَام، كَيف حَالَك؟	السلام عليكم. وعليكم السلام، كيف حالك؟	assaˈlaːm ʕaˈlajkum waʕaˈlajkum assaˈlaːm ˈkajf ˈħaːlak	Peace be upon you. And upon you peace, how are you?	kaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;question	greeting adjacency pair; ay retained in ʕalaykum/kayf (watson2002); sun assimilation as-salām
ar-YE-020	الصَّبْر مِفْتَاح الْفَرَج.	الصبر مفتاح الفرج.	ɑsˤˈsˤɑbr mifˈtaːħ ˈalfaradʒ	Patience is the key to relief.	jim;sun_assim;emphatic;pharyngeal;long_vowel;statement	ج→/dʒ/ in faraj (watson2002 p.11); ص emphatic backing in ṣabr
